precedence,precedents
premier,premiere
premiers,premieres
presence,presents
pride,pried
primer,primmer
prince,prints
principle,principal
principles,principals
profit,prophet
profits,prophets
pros,prose
pull,pool
pulls,pools
quartz,quarts
queue,cue
queues,cues
quince,quints
rabbit,rabbet
rack,wrack
racks,wracks
rain,reign,rein
rains,reigns,reins
raise,rays,raze
raises,razes
rapper,wrapper
read,red,reed
real,reel
residents,residence
rest,wrest
rests,wrests
review,revue
reviews,revues
right,write,rite
rights,writes,rites
rigor,rigger
ring,wring
rings,wrings
road,rode,rowed
roads,rhodes
role,roll
roles,rolls
Rome,roam
room,rheum
rose,rows
rough,ruff
route,root
routes,roots
row,roe
rude,rued
rue,roux
rumor,roomer
rung,wrung
Russell,rustle
rye,wry
sachet,sashay
sack,sac
sacks,sacs,sax
sale,sail
sales,sails
sane,seine
saver,savor
savers,savors
scalar,scaler
see,sea
seed,cede
seeds,cedes
seem,seam
seems,seams
seen,scene
seer,sear,sere
sees,seize,seas
sell,cell
seller,cellar
sellers,cellars
sells,cells
sense,cents,scents
sensor,censor
sensors,censors
sent,cent,scent
serial,cereal
serials,cereals
series,Ceres
session,cession
sewing,sowing
sheer,shear
shoe,shoo
shoes,shoos
shoot,chute
shoots,chutes
shown,shone
sick,sic
side,sighed
signet,cygnet
sink,sync
sinks,syncs
site,sight,cite
sites,sights,cites
size,sighs
skull,scull
skulls,sculls
slay,sleigh
slays,sleighs
slew,slough,slue
slight,sleight
slow,sloe
so,sow,sew
sold,soled
some,sum
son,sun
sons,suns
sore,soar
sores,soars
sorry,sari
soul,sole
souls,soles
sows,sews
spade,spayed
stake,steak
stakes,steaks
stare,stair
stares,stairs
stationary,stationery
stayed,staid
steel,steal
steels,steals
step,steppe
steps,steppes
storey,story
straight,strait
straightened,straitened
style,stile
sue,Sioux
sues,Sioux's
suit,soot
summary,summery
Sunday,sundae
surf,serf
surfs,serfs
surge,serge
swayed,suede
sweet,suite
sweets,suites
sword,soared
symbol,cymbal
symbols,cymbals
tacked,tact
tale,tail
tales,tails
taper,tapir
taught,taut
taupe,tope
tax,tacks
tea,tee
team,teem
teams,teems
tear,tare,tier
tears,tares,tiers
tease,teas,tees
tens,tends
tense,tents
terry,tarry
than,then
the,thee
their,there,they're
there's,theirs
through,threw
thrown,throne
throws,throes
tick,tic
ticks,tics
tie,Thai
tied,tide
Tigris,tigress
timber,timbre
time,thyme
to,two,too
toe,tow
toes,tows
told,tolled
tool,tulle
tort,torte
torturous,tortuous
towed,toad,toed
tracked,tract
trader,traitor
traders,traitors
troop,troupe
troops,troupes
trust,trussed
tucks,tux
turbine,turban
turbines,turbans
turn,tern
tutor,Tudor,tooter
undo,undue
use,ewes,yews
utter,udder
utters,udders
vain,vein,vane
valence,valance
veil,vale
veils,vales
veins,vanes
Venus,venous
versus,verses
very,vary
vice,vise
vile,vial
wade,weighed
wait,weight
waiter,wader
waits,weights
walk,wok
walks,woks
want,wont
war,wore
waste,waist
wastes,waists
wave,waive
waves,waives
wax,whacks
way,weigh,whey
Wayne,wane,wain
Wayne's,wanes,wains
ways,weighs
we,wee
we'd,weed
we'll,wheel
we've,weave
wears,where's,wares
week,weak
were,whir,we're
wet,whet
whale,wail,wale
whales,wails,Wales
wheeled,wield
where,wear,ware
whether,weather
which,witch,wich
while,wile
whoa,woe
whole,hole
whose,who's
width,with
wind,whined,wined
wine,whine
wines,whines
word,whirred
world,whirled,whorled
worn,warn
would,wood
wrap,rap
wrapped,rapped,rapt
wraps,raps
wreak,reek
wreaks,reeks
wretch,retch
wretches,retches
wrote,rote
ya,yeah
yoke,yolk
yokes,yolks
you,yew,ewe
you'll,Yule
your,you're,yore
